year,   singapore population
2020,	5850342
2019,	5804337
2018,	5757499
2017,	5708041
2016,	5653634
2015,	5592152
2010,	5131172
2005,	4265687
2000,	4028871
1995,	3525969
1990,	3012966
1985,	2705534
1980,	2411688
1975,	2259721
1970,	2072283
1965,	1877826
1960,	1633130
1955,	1305105
